name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s,distance_ly,spectral_class
Antares,16,29,24.5,-26,25,55.2,550,M
Shaula,17,33,36.5,-37,6,13.8,570,B
Sargas,17,37,19.0,-42,59,52.2,300,F
Dschubba,16,0,20.0,-22,37,18.2,490,B
Acrab,16,5,26.2,-19,48,19.6,530,B
Lesath,17,30,45.8,-37,17,44.9,580,B
Larawag,16,50,9.8,-34,17,36.0,64,K
Girtab,17,42,29.3,-39,1,47.9,480,B
Alniyat,16,21,11.3,-25,35,34.1,568,B
Jabbah,16,11,59.7,-19,27,38.3,470,B
Paikauhale,16,35,52.9,-28,12,57.7,470,B
Fang,15,58,51.1,-26,6,50.6,590,B
Eta_Scorpii,17,12,9.2,-43,14,21.1,73,F
